epoch,loss,lr,mae,mse
0,29741.36328125,0.001,154.16358947753906,29741.36328125
1,29277.486328125,0.002,152.6483612060547,29277.486328125
2,24837.958984375,0.002,137.02369689941406,24837.958984375
3,7434.05029296875,0.005,68.75760650634766,7434.05029296875
4,4400.2119140625,0.005,52.2430305480957,4400.2119140625
5,3119.10693359375,0.01,45.00037384033203,3119.10693359375
6,3010.7109375,0.01,44.196163177490234,3010.7109375
7,3117.22705078125,0.016999999,44.024967193603516,3117.22705078125
8,3333.673583984375,0.016999999,46.793540954589844,3333.673583984375
9,3210.186767578125,0.025999999,46.2557373046875,3210.186767578125
